internalTaxonId,scientificName,name,language,main
13143,Melursus ursinus,Ours lippu de l'Inde,French,false
13143,Melursus ursinus,Ours prochile lippu,French,false
13143,Melursus ursinus,Rinchh,Hindi,false
13143,Melursus ursinus,Sloth Bear,English,true
178198,Lygodactylus gravis,Usambara Dwarf Gecko,English,true
7949,Equus africanus,African Ass,English,false
7949,Equus africanus,Ass,English,false
7949,Equus africanus,Adghi Bareka,Undetermined,false
7949,Equus africanus,Ane sauvage d'Afrique,French,false
7949,Equus africanus,Âne Sauvage D'Afrique,French,false
7949,Equus africanus,Asno Salvaje de Africa,Spanish; Castilian,false
7949,Equus africanus,Gumburi,Somali,false
7949,Equus africanus,African Wild Ass,English,true
7960,Equus zebra,Hartmann's Mountain Zebra,English,false
7960,Equus zebra,Cebra de Hartmann,Spanish; Castilian,false
7960,Equus zebra,Zèbre de Hartmann,French,false
7960,Equus zebra,Zèbre de montagne de Hartmann,French,false
7960,Equus zebra,Mountain Zebra,English,true
21471,Tapirus bairdii,Central American Tapir,English,false
21471,Tapirus bairdii,Anteburro,Spanish; Castilian,false
21471,Tapirus bairdii,Danta,Spanish; Castilian,false
21471,Tapirus bairdii,Dante,Spanish; Castilian,false
21471,Tapirus bairdii,Danto,Spanish; Castilian,false
21471,Tapirus bairdii,Macho de Monte,Spanish; Castilian,false
21471,Tapirus bairdii,Tapir Centroamericano,Spanish; Castilian,false
21471,Tapirus bairdii,Tapir de Baird,French,false
21471,Tapirus bairdii,Baird's Tapir,English,true
21472,Tapirus indicus,Asian Tapir,English,false
21472,Tapirus indicus,Asiatic Tapir,English,false
21472,Tapirus indicus,Indian Tapir,English,false
21472,Tapirus indicus,Malayan Tapir,English,false
21472,Tapirus indicus,Asiatischer Tapir,German,false
21472,Tapirus indicus,Badak Cipan,Malay,false
21472,Tapirus indicus,Tapir àcChabraque,French,false
21472,Tapirus indicus,Tapir à dos blanc,French,false
21472,Tapirus indicus,Tapir de la India,Spanish; Castilian,false
21472,Tapirus indicus,Tapir de l'Inde,French,false
21472,Tapirus indicus,Tapir Malais,French,false
21472,Tapirus indicus,Tenor,Malay,false
21472,Tapirus indicus,Malay Tapir,English,true
21473,Tapirus pinchaque,Andean Tapir,English,false
21473,Tapirus pinchaque,Woolly Tapir,English,false
21473,Tapirus pinchaque,Danta Cordillerana,Spanish; Castilian,false
21473,Tapirus pinchaque,Danta de Montaña,Spanish; Castilian,false
21473,Tapirus pinchaque,Danta de Páramo,Spanish; Castilian,false
21473,Tapirus pinchaque,Danta Lanuda,Spanish; Castilian,false
21473,Tapirus pinchaque,Danta Negra,Spanish; Castilian,false
21473,Tapirus pinchaque,Gran Bestia,Spanish; Castilian,false
21473,Tapirus pinchaque,Pinchaque,Spanish; Castilian,false
21473,Tapirus pinchaque,Tapir Andino,Spanish; Castilian,false
21473,Tapirus pinchaque,Tapir des Andes,French,false
21473,Tapirus pinchaque,Tapir pinchaque,French,false
21473,Tapirus pinchaque,Mountain Tapir,English,true
21474,Tapirus terrestris,Brazilian Tapir,English,false
21474,Tapirus terrestris,South American Tapir,English,false
21474,Tapirus terrestris,Anta,Portuguese,false
21474,Tapirus terrestris,Anta Brasileña,Spanish; Castilian,false
21474,Tapirus terrestris,Danta,Spanish; Castilian,false
21474,Tapirus terrestris,Danta Amazónica,Spanish; Castilian,false
21474,Tapirus terrestris,Gran Bestia,Spanish; Castilian,false
21474,Tapirus terrestris,Maypouir,Quechua,false
21474,Tapirus terrestris,Tapir Brasileño,Spanish; Castilian,false
21474,Tapirus terrestris,Tapir D'Amérique,French,false
21474,Tapirus terrestris,Tapir Terrestre,French,false
21474,Tapirus terrestris,Lowland Tapir,English,true
3326,Bunolagus monticularis,Bushman Hare,English,false
3326,Bunolagus monticularis,Bushman Rabbit,English,false
3326,Bunolagus monticularis,Boshaas,Afrikaans,false
3326,Bunolagus monticularis,Buschmannhase,German,false
3326,Bunolagus monticularis,Oewerkonyn,Afrikaans,false
3326,Bunolagus monticularis,Pondhaas,Afrikaans,false
3326,Bunolagus monticularis,Vleihaas,Afrikaans,false
3326,Bunolagus monticularis,Riverine Rabbit,English,true
3833,Caprolagus hispidus,Assam Rabbit,English,false
3833,Caprolagus hispidus,Bristly Rabbit,English,false
3833,Caprolagus hispidus,Hispid Hare,English,false
3833,Caprolagus hispidus,Assam-Borstenkaninchen,German,false
