internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
176330,Alsophis sanctonum,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DIPSADIDAE,Alsophis,sanctonum,,,,,"Barbour, 1915","This species has two subspecies:  <br/><em>A. sanctonum sanctonum</em> Barbour, 1915 <br/><em>A. sanctonum danforthi</em> Cochran, 1938."
177833,Sphaerodactylus storeyae,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,SPHAERODACTYLIDAE,Sphaerodactylus,storeyae,,,,,"Grant, 1944",
178262,Sphaerodactylus torrei,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,SPHAERODACTYLIDAE,Sphaerodactylus,torrei,,,,,"Barbour, 1914","Two subspecies are recognized: <br/><em>S. torrei spielmani</em> Grant, 1958 <br/><em>S. torrei torrei</em> Barbour, 1914."
178270,Sphaerodactylus streptophorus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,SPHAERODACTYLIDAE,Sphaerodactylus,streptophorus,,,,,"Thomas &amp; Schwartz, 1977","Two subspecies are recognized:<br/><br/><span style=""font-style: italic;"">Sphaerodactylus streptophorus sphenophanes</span> Thomas & Schwartz 1983<br/> <span style=""font-style: italic;"">Sphaerodactylus streptophorus streptophorus</span> Thomas & Schwartz 1977"
178309,Sphaerodactylus armasi,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,SPHAERODACTYLIDAE,Sphaerodactylus,armasi,,,,,"Schwartz &amp; Garrido, 1974",
178322,Sphaerodactylus williamsi,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,SPHAERODACTYLIDAE,Sphaerodactylus,williamsi,,,,,"Thomas &amp; Schwartz, 1983",
178564,Sphaerodactylus callocricus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,SPHAERODACTYLIDAE,Sphaerodactylus,callocricus,,,,,"Schwartz, 1976",
178611,Sphaerodactylus thompsoni,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,SPHAERODACTYLIDAE,Sphaerodactylus,thompsoni,,,,,"Schwartz &amp; Franz, 1976",
178681,Leiocephalus greenwayi,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,TROPIDURIDAE,Leiocephalus,greenwayi,,,,,"Barbour &amp; Shreve, 1935",
190595,Arrhyton tanyplectum,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DIPSADIDAE,Arrhyton,tanyplectum,,,,,"Schwartz &amp; Garrido, 1981",
