internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
12695,Malaclemys terrapin,"Emys pileata Wied, 1865",Emys,pileata,"Wied, 1865",,
12695,Malaclemys terrapin,"Malaclemmys littoralis ssp. rhizophorarum Fowler, 1906",Malaclemmys,littoralis,,subspecies,"Fowler, 1906"
12695,Malaclemys terrapin,"Malaclemys terrapin ssp. tequesta Schwartz, 1955",Malaclemys,terrapin,,subspecies,"Schwartz, 1955"
12695,Malaclemys terrapin,"Malacoclemmys terrapin (Schoepff, 1793)",Malacoclemmys,terrapin,"(Schoepff, 1793)",,
12695,Malaclemys terrapin,"Emys macrocephalus Gray, 1844 [junior homonym]",Emys,macrocephalus,"Gray, 1844 [junior homonym]",,
12695,Malaclemys terrapin,"Malaclemys tuberculifera Gray, 1844 [<i>nomen oblitum</i>]",Malaclemys,tuberculifera,"Gray, 1844 [<i>nomen oblitum</i>]",,
12695,Malaclemys terrapin,"Malaclemmys littoralis Hay, 1905",Malaclemmys,littoralis,"Hay, 1905",,
12695,Malaclemys terrapin,"Malaclemmys macrospilota Hay, 1905",Malaclemmys,macrospilota,"Hay, 1905",,
12695,Malaclemys terrapin,"Testudo terrapin Schoepff, 1793",Testudo,terrapin,"Schoepff, 1793",,
12695,Malaclemys terrapin,"Emys centrata Latreille, in Sonnini & Latreille, 1801",Emys,centrata,"Latreille, in Sonnini & Latreille, 1801",,
12696,Malacochersus tornieri,"Testudo loveridgii Boulenger, 1920",Testudo,loveridgii,"Boulenger, 1920",,
12696,Malacochersus tornieri,"Testudo tornieri Siebenrock, 1903",Testudo,tornieri,"Siebenrock, 1903",,
136036,Ctenophryne barbatula,"Melanophryne barbatula Lehr &  Trueb, 2007",Melanophryne,barbatula,"Lehr &  Trueb, 2007",,
136129,Telmatobius punctatus,"Telmatobius brevirostris Vellard, 1955",Telmatobius,brevirostris,"Vellard, 1955",,
78526171,Oreobates lehri,"Eleutherodactylus lehri Padial, Chaparro & De la Riva, 2007",Eleutherodactylus,lehri,"Padial, Chaparro & De la Riva, 2007",,
136769,Pipistrellus murrayi,"Pipistrellus tenuis ssp. murrayi Andrews, 1900",Pipistrellus,tenuis,,subspecies,"Andrews, 1900"
137321,Pachysoma aesculapius,"Scarabaeus aesculapius Olivier, 1789",Scarabaeus,aesculapius,"Olivier, 1789",,
137321,Pachysoma aesculapius,Ateuchus barbatus Thunberg 1818,Ateuchus,barbatus,Thunberg 1818,,
137321,Pachysoma aesculapius,Pachysoma validum Boheman 1857,Pachysoma,validum,Boheman 1857,,
137422,Pachysoma endroedyi,"Scarabaeus endroedyi Harrison &amp; Scholtz &amp; Chown, 2003",Scarabaeus,endroedyi,"Harrison &amp; Scholtz &amp; Chown, 2003",,
137779,Clypeodrepanus striatus,"Drepanocerus striatus Boucomont, 1921",Drepanocerus,striatus,"Boucomont, 1921",,
